14444 10.7 11.7
13188 11.5 12.5
12560 12 13
11932 12.5 13.5
10676 13.9 14.9
9420 15 16
8164 16.9 17.9
6908 19 20
6280 20.1 21.1
5652 21.7 22.7
4396 25 26
3768 27 28
3140 29.4 30.4
2512 32 33
2198 33.5 34.5
1884 35 36
1570 36.4 37.4
1256 37.8 38.8
